-2.0,0.04151071781314325
-1.9,0.01834578863304348
-1.8,0.006101440160925009
-1.7,0.0010829700426892297
-1.6,1.2455898656085068E-5
-1.5,-1.7764263494954302E-4
-1.4,-0.002509582931558174
-1.3,-0.010116817916537513
-1.2,-0.026421814891530834
-1.1,-0.05537198381348696
-1.0,-0.10179031006619343
-0.9,-0.17194117957165356
-0.8,-0.2745078913033099
-0.7,-0.4223996448421954
-0.6,-0.6363603321684265
-0.5,-0.9529051598220828
-0.4,-1.4441614260362303
-0.3,-2.277391654640229
-0.2,-3.953088297745656
-0.1,-8.971640257981266
